mint,name,symbol,archetype,family,axis,classification,status,scope,first_seen_checkpoint,checkpoints,best_bot_level,best_anomaly_level,bot_label,retire_label,manual_notes
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,broad_mechanical_churn_review,broad_discovery,MECHANICAL,DISCOVERY,DISCOVERY,SNAPSHOT,10,10,HARD_BOT,HIGH,,,
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,economic_null_churn_review,economic_null_churn,ECONOMIC_RESPONSE,DISCOVERY,DISCOVERY,SNAPSHOT,10,10|30,HARD_BOT,HIGH,,,
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,fixed_activity_rate_review,temporal_rate,TEMPORAL,DISCOVERY,DISCOVERY,TEMPORAL,30,30,HARD_BOT,HIGH,,,
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,fixed_size_engine,mechanical_mirror,MECHANICAL,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,10|30,HARD_BOT,HIGH,,,
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,high_frequency_low_depth,hf_low_depth,ACTIVITY,BOT_CANDIDATE,CANDIDATE,SNAPSHOT,10,10,HARD_BOT,HIGH,,,
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,mirror_engine_strong,mechanical_mirror,MECHANICAL,ANOMALY_ONLY,FROZEN,SNAPSHOT,10,10|30,HARD_BOT,HIGH,,,
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,mirror_engine_ultra,mechanical_mirror,MECHANICAL,HARD_BOT,FROZEN,SNAPSHOT,10,10|30,HARD_BOT,HIGH,,,
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,repetitive_trader_ring,mechanical_mirror,PARTICIPATION,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,10,HARD_BOT,HIGH,,,
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,broad_mechanical_churn_review,broad_discovery,MECHANICAL,DISCOVERY,DISCOVERY,SNAPSHOT,30,30,HARD_BOT,HIGH,,,
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,economic_null_churn_review,economic_null_churn,ECONOMIC_RESPONSE,DISCOVERY,DISCOVERY,SNAPSHOT,10,10|30,HARD_BOT,HIGH,,,
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,fixed_activity_rate_review,temporal_rate,TEMPORAL,DISCOVERY,DISCOVERY,TEMPORAL,30,30,HARD_BOT,HIGH,,,
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,fixed_size_engine,mechanical_mirror,MECHANICAL,BOT_CANDIDATE,FROZEN,SNAPSHOT,30,30,HARD_BOT,HIGH,,,
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,mirror_engine_strong,mechanical_mirror,MECHANICAL,ANOMALY_ONLY,FROZEN,SNAPSHOT,30,30,HARD_BOT,HIGH,,,
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,mirror_engine_ultra,mechanical_mirror,MECHANICAL,HARD_BOT,FROZEN,SNAPSHOT,30,30,HARD_BOT,HIGH,,,
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,small_trader_ring_review,broad_discovery,PARTICIPATION,DISCOVERY,DISCOVERY,SNAPSHOT,30,30,HARD_BOT,HIGH,,,
CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,PYTHIA,PYTHIA,fixed_size_engine,mechanical_mirror,MECHANICAL,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,10|30|60|120,CANDIDATE,HIGH,,,
CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,PYTHIA,PYTHIA,mirror_engine_strong,mechanical_mirror,MECHANICAL,ANOMALY_ONLY,FROZEN,SNAPSHOT,10,10|30|60|120,CANDIDATE,HIGH,,,
CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,PYTHIA,PYTHIA,repetitive_trader_ring,mechanical_mirror,PARTICIPATION,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,10|30|60|120,CANDIDATE,HIGH,,,
agK87LSHSLmVEW6uuzyfLbdZU1F4Xr9yMh81HxMwtGN,XST,XST,cross_window_rate_lock_review,nested_rate_lock,TEMPORAL,DISCOVERY,DISCOVERY,CROSS_WINDOW,30,30,CANDIDATE,HIGH,,,
agK87LSHSLmVEW6uuzyfLbdZU1F4Xr9yMh81HxMwtGN,XST,XST,economic_null_churn_review,economic_null_churn,ECONOMIC_RESPONSE,DISCOVERY,DISCOVERY,SNAPSHOT,10,10,CANDIDATE,HIGH,,,
agK87LSHSLmVEW6uuzyfLbdZU1F4Xr9yMh81HxMwtGN,XST,XST,fixed_activity_rate_review,temporal_rate,TEMPORAL,DISCOVERY,DISCOVERY,TEMPORAL,30,30,CANDIDATE,HIGH,,,
agK87LSHSLmVEW6uuzyfLbdZU1F4Xr9yMh81HxMwtGN,XST,XST,fixed_size_engine,mechanical_mirror,MECHANICAL,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,10,CANDIDATE,HIGH,,,
agK87LSHSLmVEW6uuzyfLbdZU1F4Xr9yMh81HxMwtGN,XST,XST,mcap_churn_review,broad_discovery,ECONOMIC_RESPONSE,DISCOVERY,DISCOVERY,SNAPSHOT,30,30,CANDIDATE,HIGH,,,
