mint,name,symbol,best_bot_level,best_anomaly_level,best_analysis_tag,best_observation_quality,first_hard_bot_checkpoint,first_candidate_checkpoint,first_anomaly_high_checkpoint,first_matrix_review_checkpoint,matrix_review_trigger,matrix_extreme_axes,archetype_tags,archetype_families,evidence_axes,bot_label,retire_label,manual_notes,best_monitoring_age,best_market_age,best_age_basis,best_checkpoint,current_local_unchanged_age_seconds,current_source_unchanged_age_seconds
96CAPDesHsogma8Sz6XR574QVhAZLsUqyxh6Voe4Bv42,alon,ALON,HARD_BOT,HIGH,KNOWN_ARCHETYPE,ADEQUATE,10,10,10,10,True,MECHANICAL,broad_mechanical_churn_review|economic_null_churn_review|fixed_activity_rate_review|fixed_size_engine|high_frequency_low_depth|mirror_engine_strong|mirror_engine_ultra|repetitive_trader_ring,broad_discovery|economic_null_churn|hf_low_depth|mechanical_mirror|temporal_rate,ACTIVITY|ECONOMIC_RESPONSE|MECHANICAL|PARTICIPATION|TEMPORAL,,,,10,33.13618481666666,market_age:firstPool.createdAt,10,0.0,0.107654
EjyUdRAMY3J1KG5LxiWXcjqqQbKqEGW11XQVvVqxehrf,Sandisk Corporation,SNDK,HARD_BOT,HIGH,KNOWN_ARCHETYPE,ADEQUATE,30,30,30,,False,,broad_mechanical_churn_review|economic_null_churn_review|fixed_activity_rate_review|fixed_size_engine|mirror_engine_strong|mirror_engine_ultra|small_trader_ring_review,broad_discovery|economic_null_churn|mechanical_mirror|temporal_rate,ECONOMIC_RESPONSE|MECHANICAL|PARTICIPATION|TEMPORAL,,,,30,41.08123523333334,market_age:firstPool.createdAt,30,0.321177,0.732993
CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,PYTHIA,PYTHIA,CANDIDATE,HIGH,SYSTEMATIC_WARNING,ADEQUATE,,10,10,,False,MECHANICAL,fixed_size_engine|mirror_engine_strong|repetitive_trader_ring,mechanical_mirror,MECHANICAL|PARTICIPATION,,,,10,852808.0616607667,market_age:firstPool.createdAt,10,416.084992,423.966158
agK87LSHSLmVEW6uuzyfLbdZU1F4Xr9yMh81HxMwtGN,XST,XST,CANDIDATE,HIGH,SYSTEMATIC_WARNING,ADEQUATE,,10,10,,False,,cross_window_rate_lock_review|economic_null_churn_review|fixed_activity_rate_review|fixed_size_engine|mcap_churn_review|mirror_engine_strong|small_trader_ring_review,broad_discovery|economic_null_churn|mechanical_mirror|nested_rate_lock|temporal_rate,ECONOMIC_RESPONSE|MECHANICAL|PARTICIPATION|TEMPORAL,,,,10,54.48904255,market_age:firstPool.createdAt,10,0.312941,0.557831
JDzPbXboQYWVmdxXS3LbvjM52RtsV1QaSv2AzoCiai2o,Official FO,FO,CANDIDATE,HIGH,SYSTEMATIC_WARNING,ADEQUATE,,30,30,,False,MECHANICAL,fixed_activity_rate_review|fixed_size_engine|repetitive_trader_ring|small_trader_ring_review,broad_discovery|mechanical_mirror|temporal_rate,MECHANICAL|PARTICIPATION|TEMPORAL,,,,30,693802.2815065667,market_age:firstPool.createdAt,30,0.406774,3.399893
C8fU5GdfAt5mnw2RK7HE6XJGFNxHpaskZMkXxdm88888,c8ntinuum,CTM,DISCOVERY,HIGH,SYSTEMATIC_WARNING,ADEQUATE,,,10,10,True,MECHANICAL|PARTICIPATION,mirror_engine_strong,mechanical_mirror,MECHANICAL,,,,10,190393.36166076668,market_age:firstPool.createdAt,10,226.960456,235.287723
MUxEsUKSMACyw5fZf68wxf5FLnZVhtU9CwH8uNNGay1,Micron Technology - Backpack Securities,MU,DISCOVERY,HIGH,SYSTEMATIC_WARNING,ADEQUATE,,,30,30,True,MECHANICAL|PARTICIPATION,mirror_engine_strong,mechanical_mirror,MECHANICAL,,,,30,71493.95181653333,market_age:firstPool.createdAt,30,0.757074,3.650359
PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF,OpenAI PreStocks,OPENAI,DISCOVERY,HIGH,SYSTEMATIC_WARNING,ADEQUATE,,,120,120,True,MECHANICAL|PARTICIPATION,mirror_engine_strong,mechanical_mirror,MECHANICAL,,,,120,473285.3184832,market_age:firstPool.createdAt,120,0.757074,3.52887
3hmgQnH617VcQCn7Kng3rHWPQFYCHP6tj2LEiJgcpump,LONGEVITY HACK,LIVE,DISCOVERY,HIGH,SYSTEMATIC_WARNING,SPARSE,,,60,,False,,cheap_displacement_review|mirror_engine_strong|small_trader_ring_review,broad_discovery|cheap_displacement|mechanical_mirror,ECONOMIC_RESPONSE|MECHANICAL|PARTICIPATION,,,,60,60.20015696666667,market_age:firstPool.createdAt,60,2623.874425,4831.770207
44sHXMkPeciUpqhecfCysVs7RcaxeM24VPMauQouBREV,Larry Pink's Pool Party,LPPP,DISCOVERY,HIGH,SYSTEMATIC_WARNING,ADEQUATE,,,60,,False,MECHANICAL,mirror_engine_strong,mechanical_mirror,MECHANICAL,,,,60,507142.22436255,market_age:firstPool.createdAt,60,553.222907,554.712246
