mint,name,symbol,checkpoint_minutes,monitoring_age_minutes,market_age_minutes,age_basis,window,window_minutes,mcap,liquidity,holders,total_trades,trades_per_hour,num_traders,trades_per_trader,trades_per_trader_per_hour,total_volume,volume_per_hour,avg_trade_size,volume_symmetry,trade_count_symmetry,trade_size_symmetry,turnover_liquidity,turnover_liquidity_per_hour,turnover_mcap,turnover_mcap_per_hour,price_change,holder_change,liquidity_change,num_net_buyers,net_buyer_share,price_impact_per_turnover,churn_per_response,cohort_market_age_band,cohort_mcap_band,cohort_liquidity_band,p_trades_per_hour,p_turnover_liquidity_per_hour,p_trades_per_trader_per_hour,p_volume_symmetry,p_trade_count_symmetry,p_trade_size_symmetry,p_price_impact_per_turnover,p_churn_per_response,matrix_review_trigger,matrix_extreme_axes,archetype_tags,bot_label,retire_label
13mHwU5upVczeio7Vhn3qpn4XswrqRULt4oRcDvJpump,ACTUALLY SHOULD VAMP,READ NIGGAS,10,10,10.103430566666667,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
1BRjP5rtX1e8XH9q9JmUzqmkpDuXYTQmPen6JrECdha,,,10,10,10.178254833333334,market_age:firstPool.createdAt,stats5m,5,,1040.7494462649079,6.0,3.0,36.0,1.0,3.0,36.0,1040.7494462649076,12488.99335517889,346.91648208830253,,,,0.9999999999999998,11.999999999999996,,,0.00023936926691814036,500.0,,1.0,1.0,2.393689804311482e-06,0.04780874214353871,age:10-30m,mcap:null,liq:1-5k,0.4624724061810154,0.6660714285714285,0.7212189616252822,,,,0.0625,0.2896678966789668,False,,,,
1Qf8gESP4i6CFNWerUSDdLKJ9U1LpqTYvjJ2MM4pain,PAIN,PAIN,10,10,773371.2076958833,market_age:firstPool.createdAt,stats5m,5,4490658.817045397,54659.71586650361,30667.0,,,,,,,,,,,,,,,,,,,,,,,age:>=24h,mcap:>=1m,liq:20-100k,,,,,,,,,False,,,,
1Qf8gESP4i6CFNWerUSDdLKJ9U1LpqTYvjJ2MM4pain,PAIN,PAIN,10,10,773371.2076958833,market_age:firstPool.createdAt,stats1h,60,4490658.817045397,54659.71586650361,30667.0,,,,,,,,,,,,,,,,,,-1.3311371087170714e-14,,,,,age:>=24h,mcap:>=1m,liq:20-100k,,,,,,,,,False,,,,
1Qf8gESP4i6CFNWerUSDdLKJ9U1LpqTYvjJ2MM4pain,PAIN,PAIN,10,10,773371.2076958833,market_age:firstPool.createdAt,stats6h,360,4490658.817045397,54659.71586650361,30667.0,6.0,1.0,3.0,2.0,0.3333333333333333,29.248482139682157,4.874747023280359,4.874747023280359,0.0034315829080433513,0.33333333333333337,0.008593702271023192,0.0005351012473448681,8.918354122414467e-05,6.513182882801599e-06,1.0855304804669331e-06,-0.44473398298906336,-0.0032607277944437197,-1.722164579701517,1.0,0.3333333333333333,8.329748224284838,6.173007783732585e-05,age:>=24h,mcap:>=1m,liq:20-100k,0.032520325203252036,0.036885245901639344,0.024390243902439025,0.004166666666666667,0.004166666666666667,0.0125,0.9625,0.036885245901639344,False,,,,
1Qf8gESP4i6CFNWerUSDdLKJ9U1LpqTYvjJ2MM4pain,PAIN,PAIN,10,10,773371.2076958833,market_age:firstPool.createdAt,stats24h,1440,4490658.817045397,54659.71586650361,30667.0,31.0,1.2916666666666667,15.0,2.066666666666667,0.08611111111111112,2410.7726828211426,100.44886178421426,77.7668607361659,0.028831020147038866,0.7096774193548387,0.026593375386259485,0.04410510820636198,0.0018377128419317494,0.0005368416486397193,2.236840202665497e-05,-3.898675679543026,-0.01630151278038602,-5.911971239417673,2.0,0.13333333333333333,0.9016436207528487,0.00037514482732671554,age:>=24h,mcap:>=1m,liq:20-100k,0.04435483870967742,0.10975609756097561,0.028225806451612902,0.012195121951219513,0.036585365853658534,0.012195121951219513,0.9221311475409836,0.08536585365853659,False,,,,
1xgFLrt2ptB4prTQMwKnxRv7TVN892CMDE49mVEpump,ASTEROID OF FORTNITE,X-Ray,10,10,10.607695883333333,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
21MXU4ua8tBSTWxVeE9GzcYXjW149DpjQPqBPkQypump,THATS CRAZY GOOD?,ALON,10,10,10.1393334,market_age:firstPool.createdAt,stats5m,5,,,1.0,2.0,24.0,1.0,2.0,24.0,0.3378512481513219,4.054214977815862,0.16892562407566095,0.9999995492464075,1.0,0.9999990984932214,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,0.5586592178770949,,0.6783625730994152,0.7357723577235772,0.5683760683760684,0.7086956521739131,,,False,,,,
22yqv7rKfpapFasoF9cqAe5cGzWNpkiZ3VrohQmxpump,APPLECAT,APPLECAT,10,10,10.14966,market_age:firstPool.createdAt,stats5m,5,55.57072393711754,2278.4956726394335,3.0,55.0,660.0,2.0,27.5,330.0,116.60135544567966,1399.216265348156,2.120024644466903,0.9418100446713173,0.9090909090909091,0.9363087256960086,0.051174710071144186,0.6140965208537302,2.098251510590772,25.179018127089268,-85.36140387964815,,-0.34483459740220224,1.0,0.5,37.54801097652063,0.01400348553345878,age:10-30m,mcap:<10k,liq:1-5k,0.7413793103448276,0.3724832214765101,0.9618055555555556,0.2827868852459016,0.7226890756302521,0.885593220338983,0.9204545454545454,0.21631205673758866,False,,cheap_displacement_review,,
23e4CNuJxvBQ7RjNLc8Bh3yN3pQq6jeiTbyzJGXYPgme,Official Fomo Mascot,Remus,10,10,1740.47436255,market_age:firstPool.createdAt,stats5m,5,715735.2015262289,128581.66263229027,4956.0,75.0,900.0,45.0,1.6666666666666667,20.0,5652.965778824481,67835.58934589378,75.37287705099308,0.6009554318764445,0.8533333333333333,0.577203814648352,0.04396401215459841,0.5275681458551809,0.007898124567256347,0.09477749480707617,5.522696502702985,-0.04033884630899556,1.8746826880535594,21.0,0.4666666666666667,1.2227245395236979,0.18352221900789892,age:>=24h,mcap:300k-1m,liq:>=100k,0.6574074074074074,0.705607476635514,0.2523364485981308,0.30808080808080807,0.4494949494949495,0.4090909090909091,0.7371134020618557,0.6273584905660378,False,MECHANICAL,participation_mismatch_review,,
