rule,family,axis,classification,status,scope,min_age_minutes,needs_history,active_unique_mints,marginal_unique_mints,marginal_share_pct,early_first_mints,median_minutes_gained,p90_minutes_gained,labeled_bots_total,labeled_bots_hit,labeled_nonbots_total,labeled_nonbots_hit,labeled_retire_total,labeled_retire_hit,labeled_keep_total,labeled_keep_hit,bot_hit_by_10m,retire_hit_by_10m,bot_hit_by_30m,retire_hit_by_30m,bot_hit_by_60m,retire_hit_by_60m,bot_hit_by_120m,retire_hit_by_120m
repetitive_trader_ring,mechanical_mirror,PARTICIPATION,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,False,3,0,0.0,1,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mirror_engine_strong,mechanical_mirror,MECHANICAL,ANOMALY_ONLY,FROZEN,SNAPSHOT,10,False,10,6,60.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fixed_size_engine,mechanical_mirror,MECHANICAL,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,False,5,0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high_turnover_ring,mechanical_mirror,ACTIVITY,BOT_CANDIDATE,FROZEN,SNAPSHOT,10,False,0,0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mirror_engine_ultra,mechanical_mirror,MECHANICAL,HARD_BOT,FROZEN,SNAPSHOT,10,False,2,0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temporal_linear_ramp_up,linear_ramp,TEMPORAL,ANOMALY_ONLY,CANDIDATE,TEMPORAL,10,True,1,1,100.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high_frequency_low_depth,hf_low_depth,ACTIVITY,BOT_CANDIDATE,CANDIDATE,SNAPSHOT,10,False,1,0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
economic_null_churn_review,economic_null_churn,ECONOMIC_RESPONSE,DISCOVERY,DISCOVERY,SNAPSHOT,10,False,11,8,72.7273,1,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheap_displacement_review,cheap_displacement,ECONOMIC_RESPONSE,DISCOVERY,DISCOVERY,SNAPSHOT,10,False,46,45,97.8261,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
participation_mismatch_review,participation_mismatch,PARTICIPATION,DISCOVERY,DISCOVERY,SNAPSHOT,10,False,25,25,100.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fixed_activity_rate_review,temporal_rate,TEMPORAL,DISCOVERY,DISCOVERY,TEMPORAL,30,True,26,22,84.6154,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small_trader_ring_review,broad_discovery,PARTICIPATION,DISCOVERY,DISCOVERY,SNAPSHOT,10,False,16,12,75.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross_window_rate_lock_review,nested_rate_lock,TEMPORAL,DISCOVERY,DISCOVERY,CROSS_WINDOW,60,False,7,6,85.7143,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transaction_spam_review,transaction_spam,ACTIVITY,DISCOVERY,DISCOVERY,TEMPORAL,30,True,4,4,100.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temporal_zigzag_review,temporal_shape,TEMPORAL,DISCOVERY,DISCOVERY,TEMPORAL,10,True,3,3,100.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broad_mechanical_churn_review,broad_discovery,MECHANICAL,DISCOVERY,DISCOVERY,SNAPSHOT,10,False,4,2,50.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcap_churn_review,broad_discovery,ECONOMIC_RESPONSE,DISCOVERY,DISCOVERY,SNAPSHOT,10,False,2,1,50.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temporal_linear_ramp_down,linear_ramp,TEMPORAL,ANOMALY_ONLY,DISCOVERY,TEMPORAL,10,True,0,0,0.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
